EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
2625.0,1.86,87.5,26251
      

Device Name,kWh,tCO2,Date Range,Cost
EM Lab-2 (3 Phase),388.4,0.28,01/04/2025 to 30/04/2025,3883.5
APE Lab,369.5,0.26,01/04/2025 to 30/04/2025,3695.0
Seminar Hall-Wing,334.6,0.27,01/04/2025 to 30/04/2025,3346.2
III Year A Wing,295.6,0.18,01/04/2025 to 30/04/2025,2955.8
MI Lab Wing,283.9,0.21,01/04/2025 to 30/04/2025,2839.5
II Year B-Wing,206.6,0.19,01/04/2025 to 30/04/2025,2065.6
III Year B-Wing,201.9,0.15,01/04/2025 to 30/04/2025,2018.8
EM Lab 1-Wing,176.0,0.10,01/04/2025 to 30/04/2025,1759.9
EC LAB,164.1,0.14,01/04/2025 to 30/04/2025,1640.5
IV Year A-Wing,109.2,0.01,01/04/2025 to 30/04/2025,1092.1
IV Year B-Wing,95.2,0.07,01/04/2025 to 30/04/2025,951.6
EM Lab II,0.0,0.00,01/04/2025 to 30/04/2025,0.0
Workshop-Wing,0.0,0.00,01/04/2025 to 30/04/2025,0.0
