EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
1160.0,0.62,37.4,11601
      

Device Name,kWh,tCO2,Date Range,Cost
Seminar Hall-Wing,322.8,0.27,01/05/2025 to 31/05/2025,3227.9
EM Lab-2 (3 Phase),240.6,0.16,01/05/2025 to 31/05/2025,2406.3
MI Lab Wing,184.3,0.09,01/05/2025 to 31/05/2025,1842.5
II Year B-Wing,142.6,0.06,01/05/2025 to 31/05/2025,1425.6
IV Year A-Wing,92.9,0.00,01/05/2025 to 31/05/2025,929.1
EC LAB,84.5,0.02,01/05/2025 to 31/05/2025,845.5
IV Year B-Wing,56.5,0.00,01/05/2025 to 31/05/2025,565.0
EM Lab 1-Wing,35.8,0.02,01/05/2025 to 31/05/2025,358.4
III Year B-Wing,0.0,0.00,01/05/2025 to 31/05/2025,0.0
EM Lab II,0.0,0.00,01/05/2025 to 31/05/2025,0.0
Workshop-Wing,0.0,0.00,01/05/2025 to 31/05/2025,0.0
APE Lab,0.0,0.00,01/05/2025 to 31/05/2025,0.0
III Year A Wing,0.0,0.00,01/05/2025 to 31/05/2025,0.0
