EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
8299.5,6.19,1383.3,82995
      

Device Name,kWh,tCO2,Date Range,Cost
EM Lab-2 (3 Phase),4487.3,3.35,01/10/2025 to 06/10/2025,44872.6
EM Lab 1-Wing,1994.0,1.50,01/10/2025 to 06/10/2025,19940.2
IV Year A-Wing,801.7,0.60,01/10/2025 to 06/10/2025,8016.7
EC LAB,459.4,0.36,01/10/2025 to 06/10/2025,4593.9
MI Lab Wing,310.7,0.23,01/10/2025 to 06/10/2025,3106.8
APE Lab,121.4,0.08,01/10/2025 to 06/10/2025,1213.9
III Year B-Wing,31.5,0.01,01/10/2025 to 06/10/2025,314.7
III Year A Wing,31.3,0.01,01/10/2025 to 06/10/2025,312.7
Seminar Hall-Wing,31.2,0.03,01/10/2025 to 06/10/2025,312.4
IV Year B-Wing,16.1,0.01,01/10/2025 to 06/10/2025,160.7
II Year B-Wing,14.9,0.01,01/10/2025 to 06/10/2025,148.7
EM Lab II,0.0,0.00,01/10/2025 to 06/10/2025,0.0
Workshop-Wing,0.0,0.00,01/10/2025 to 06/10/2025,0.0
