EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
4831.3,3.69,155.8,48125
      

Device Name,kWh,tCO2,Date Range,Cost
IV Year B-Wing,1134.1,0.81,01/08/2025 to 31/08/2025,11341.0
EM Lab-2 (3 Phase),954.8,0.74,01/08/2025 to 31/08/2025,9367.9
EM Lab 1-Wing,604.0,0.44,01/08/2025 to 31/08/2025,6030.8
APE Lab,502.8,0.36,01/08/2025 to 31/08/2025,5027.9
III Year B-Wing,328.0,0.21,01/08/2025 to 31/08/2025,3279.7
III Year A Wing,264.8,0.23,01/08/2025 to 31/08/2025,2648.1
Seminar Hall-Wing,261.9,0.18,01/08/2025 to 31/08/2025,2619.5
MI Lab Wing,236.5,0.22,01/08/2025 to 31/08/2025,2364.8
II Year B-Wing,229.1,0.38,01/08/2025 to 31/08/2025,2291.0
IV Year A-Wing,164.4,0.06,01/08/2025 to 31/08/2025,1643.8
EC LAB,150.9,0.06,01/08/2025 to 31/08/2025,1508.7
EM Lab II,0.0,0.00,01/08/2025 to 31/08/2025,0.0
Workshop-Wing,0.0,0.00,01/08/2025 to 31/08/2025,0.0
