EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
2659.4,2.08,85.8,26594
      

Device Name,kWh,tCO2,Date Range,Cost
APE Lab,487.3,0.34,01/03/2025 to 31/03/2025,4873.0
Seminar Hall-Wing,378.4,0.28,01/03/2025 to 31/03/2025,3783.8
III Year A Wing,368.2,0.27,01/03/2025 to 31/03/2025,3682.1
III Year B-Wing,271.4,0.19,01/03/2025 to 31/03/2025,2713.6
MI Lab Wing,269.3,0.22,01/03/2025 to 31/03/2025,2693.2
EM Lab-2 (3 Phase),261.1,0.41,01/03/2025 to 31/03/2025,2610.6
II Year B-Wing,203.7,0.19,01/03/2025 to 31/03/2025,2037.2
EM Lab 1-Wing,149.4,0.12,01/03/2025 to 31/03/2025,1494.0
EC LAB,118.0,0.05,01/03/2025 to 31/03/2025,1179.9
IV Year A-Wing,89.2,0.01,01/03/2025 to 31/03/2025,891.5
IV Year B-Wing,63.4,0.00,01/03/2025 to 31/03/2025,634.3
EM Lab II,0.0,0.00,01/03/2025 to 31/03/2025,0.0
Workshop-Wing,0.0,0.00,01/03/2025 to 31/03/2025,0.0
