EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
2216.8,1.58,71.5,22168
      

Device Name,kWh,tCO2,Date Range,Cost
APE Lab,380.3,0.31,01/01/2025 to 31/01/2025,3803.0
III Year A Wing,342.0,0.26,01/01/2025 to 31/01/2025,3420.0
Seminar Hall-Wing,333.8,0.25,01/01/2025 to 31/01/2025,3338.0
III Year B-Wing,262.6,0.21,01/01/2025 to 31/01/2025,2626.0
MI Lab Wing,207.0,0.13,01/01/2025 to 31/01/2025,2070.0
II Year B-Wing,187.5,0.19,01/01/2025 to 31/01/2025,1875.0
EM Lab-2 (3 Phase),147.4,0.08,01/01/2025 to 31/01/2025,1474.0
EM Lab 1-Wing,130.8,0.14,01/01/2025 to 31/01/2025,1308.0
IV Year A-Wing,97.3,0.00,01/01/2025 to 31/01/2025,973.0
EC LAB,74.6,0.00,01/01/2025 to 31/01/2025,746.0
IV Year B-Wing,53.5,0.01,01/01/2025 to 31/01/2025,535.0
EM Lab II,0.0,0.00,01/01/2025 to 31/01/2025,0.0
Workshop-Wing,0.0,0.00,01/01/2025 to 31/01/2025,0.0
