EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
4543.0,3.44,146.5,45431
      

Device Name,kWh,tCO2,Date Range,Cost
APE Lab,1285.8,0.97,01/07/2025 to 31/07/2025,12857.7
III Year A Wing,753.3,0.57,01/07/2025 to 31/07/2025,7533.1
III Year B-Wing,584.3,0.44,01/07/2025 to 31/07/2025,5842.5
Seminar Hall-Wing,415.9,0.29,01/07/2025 to 31/07/2025,4159.5
MI Lab Wing,352.2,0.29,01/07/2025 to 31/07/2025,3522.2
II Year B-Wing,333.0,0.28,01/07/2025 to 31/07/2025,3330.3
IV Year A-Wing,199.9,0.17,01/07/2025 to 31/07/2025,1998.9
IV Year B-Wing,178.1,0.08,01/07/2025 to 31/07/2025,1781.0
EM Lab 1-Wing,156.8,0.09,01/07/2025 to 31/07/2025,1568.0
EM Lab-2 (3 Phase),147.7,0.18,01/07/2025 to 31/07/2025,1476.5
EC LAB,136.0,0.08,01/07/2025 to 31/07/2025,1359.6
EM Lab II,0.0,0.00,01/07/2025 to 31/07/2025,0.0
Workshop-Wing,0.0,0.00,01/07/2025 to 31/07/2025,0.0
