Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
EM Lab 1-Wing,"Aug 31 2025, 23:00:00",50.02,249.23,2492.30,603.98,6039.80,0.45,1881720.00,239.50,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 22:00:00",50.01,249.23,2492.30,603.98,6039.80,0.45,1881720.00,238.20,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 21:00:00",49.95,249.23,2492.30,603.98,6039.80,0.45,1881720.00,238.49,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 20:00:00",50.04,249.23,2492.30,603.98,6039.80,0.45,1881720.00,237.98,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 19:00:00",50.08,249.23,2492.30,603.98,6039.80,0.45,1881720.00,239.17,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 18:00:00",50.00,249.23,2492.30,603.98,6039.80,0.45,1881720.00,243.89,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 17:00:00",49.95,249.23,2492.30,603.98,6039.80,0.45,1881720.00,244.85,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 16:00:00",49.95,249.23,2492.30,603.98,6039.80,0.45,1881720.00,240.81,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 15:00:00",49.98,249.23,2492.30,603.98,6039.80,0.45,1881720.00,239.36,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 14:00:00",50.16,249.23,2492.30,603.98,6039.80,0.45,1881720.00,243.50,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 13:00:00",50.25,249.23,2492.30,603.98,6039.80,0.45,1881720.00,242.65,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 12:00:00",50.10,249.23,2492.30,603.98,6039.80,0.45,1881720.00,241.37,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 11:00:00",50.04,249.23,2492.30,603.98,6039.80,0.45,1881720.00,241.24,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 10:00:00",50.06,249.23,2492.30,603.98,6039.80,0.45,1881720.00,239.11,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 09:00:00",50.03,249.23,2492.30,603.98,6039.80,0.45,1881720.00,242.73,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 08:00:00",50.05,249.23,2492.30,603.98,6039.80,0.45,1881720.00,239.99,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 07:00:00",50.04,249.23,2492.30,603.98,6039.80,0.45,1881720.00,239.24,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 06:00:00",50.02,249.23,2492.30,603.98,6039.80,0.45,1881720.00,240.26,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 04:00:00",50.00,249.23,2492.30,603.98,6039.80,0.45,1881720.00,242.49,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 03:00:00",50.00,249.23,2492.30,603.98,6039.80,0.45,1881720.00,242.00,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 02:00:00",50.06,249.23,2492.30,603.98,6039.80,0.45,1881720.00,241.14,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 01:00:00",50.01,249.23,2492.30,603.98,6039.80,0.45,1881720.00,238.79,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 31 2025, 00:00:00",50.01,249.23,2492.30,603.98,6039.80,0.45,1881720.00,241.86,0.00,1.00,0.00
EM Lab 1-Wing,"Aug 30 2025, 23:00:00",50.02,4.52,45.20,121.03,1210.30,0.09,1881720.00,241.06,0.00,1.00,0.00
