Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
III Year A Wing,"Aug 31 2025, 07:00:00",50.05,1.48,14.80,274.22,2742.20,0.21,5534190.00,241.12,0.29,0.76,0.05
III Year A Wing,"Aug 30 2025, 11:00:00",50.10,6.63,66.30,268.13,2681.30,0.20,5528100.00,237.03,3.05,0.97,0.70
III Year A Wing,"Aug 29 2025, 15:00:00",49.80,8.81,88.10,260.56,2605.60,0.20,5520530.00,241.72,2.75,0.97,0.64
III Year A Wing,"Aug 29 2025, 06:00:00",50.02,2.26,22.60,254.01,2540.10,0.19,5513980.00,238.99,0.54,0.95,0.12
III Year A Wing,"Aug 28 2025, 14:00:00",49.99,7.64,76.40,251.11,2511.10,0.19,5511080.00,238.29,3.24,0.97,0.75
III Year A Wing,"Aug 28 2025, 13:00:00",50.33,6.93,69.30,250.40,2504.00,0.19,5510370.00,244.23,3.14,0.97,0.74
III Year A Wing,"Aug 26 2025, 13:00:00",50.17,5.03,50.30,240.91,2409.10,0.18,5492060.00,242.46,2.67,0.95,0.61
III Year A Wing,"Aug 26 2025, 07:00:00",50.05,1.47,14.70,237.35,2373.50,0.18,5488500.00,241.46,0.29,0.74,0.05
III Year A Wing,"Aug 26 2025, 06:00:00",50.07,1.40,14.00,237.28,2372.80,0.18,5488430.00,239.88,0.53,0.95,0.12
III Year A Wing,"Aug 26 2025, 05:00:00",49.95,1.18,11.80,237.06,2370.60,0.18,5488210.00,242.74,0.98,0.99,0.23
III Year A Wing,"Aug 26 2025, 04:00:00",50.01,0.94,9.40,236.82,2368.20,0.18,5487970.00,243.14,0.98,0.99,0.23
III Year A Wing,"Aug 26 2025, 03:00:00",49.95,0.71,7.10,236.59,2365.90,0.18,5487740.00,242.32,0.98,0.99,0.23
III Year A Wing,"Aug 26 2025, 01:00:00",50.04,0.24,2.40,236.12,2361.20,0.18,5487270.00,243.91,0.97,0.99,0.23
III Year A Wing,"Aug 26 2025, 00:00:00",50.05,8.87,88.70,235.88,2358.80,0.18,5487030.00,243.60,0.97,0.99,0.23
III Year A Wing,"Aug 25 2025, 23:00:00",50.00,10.78,107.80,235.65,2356.50,0.18,5486800.00,243.10,0.97,0.99,0.23
III Year A Wing,"Aug 25 2025, 21:00:00",49.99,10.31,103.10,235.18,2351.80,0.18,5486330.00,238.84,0.98,0.99,0.23
III Year A Wing,"Aug 25 2025, 20:00:00",50.07,10.07,100.70,234.94,2349.40,0.18,5486090.00,242.64,0.97,0.99,0.23
III Year A Wing,"Aug 25 2025, 19:00:00",50.06,9.85,98.50,234.72,2347.20,0.18,5485870.00,243.74,0.98,0.99,0.24
III Year A Wing,"Aug 25 2025, 18:00:00",50.04,9.54,95.40,234.41,2344.10,0.18,5485560.00,244.86,1.52,0.87,0.33
III Year A Wing,"Aug 25 2025, 17:00:00",49.95,9.23,92.30,234.10,2341.00,0.18,5485250.00,243.24,0.91,0.86,0.19
III Year A Wing,"Aug 25 2025, 14:00:00",50.09,7.53,75.30,232.40,2324.00,0.17,5483550.00,243.97,2.96,0.96,0.69
III Year A Wing,"Aug 25 2025, 13:00:00",50.09,6.86,68.60,231.73,2317.30,0.17,5482880.00,238.95,2.84,0.95,0.64
