Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor
III Year B-Wing,"Aug 31 2025, 23:00:00",50.00,2.94,29.40,323.83,3238.30,0.24,4505610.00,240.07,0.57,0.93
III Year B-Wing,"Aug 31 2025, 22:00:00",50.01,2.81,28.10,323.70,3237.00,0.24,4505480.00,237.70,0.57,0.93
III Year B-Wing,"Aug 31 2025, 21:00:00",49.95,2.68,26.80,323.57,3235.70,0.24,4505350.00,238.46,0.57,0.93
III Year B-Wing,"Aug 31 2025, 20:00:00",50.05,2.56,25.60,323.45,3234.50,0.24,4505230.00,236.71,0.57,0.93
III Year B-Wing,"Aug 31 2025, 19:00:00",50.08,2.43,24.30,323.32,3233.20,0.24,4505100.00,237.16,0.57,0.93
III Year B-Wing,"Aug 31 2025, 17:00:00",49.94,2.17,21.70,323.06,3230.60,0.24,4504840.00,242.71,0.58,0.93
III Year B-Wing,"Aug 31 2025, 16:00:00",49.96,2.04,20.40,322.93,3229.30,0.24,4504710.00,241.74,0.58,0.93
III Year B-Wing,"Aug 31 2025, 15:00:00",49.98,1.91,19.10,322.80,3228.00,0.24,4504580.00,240.63,0.58,0.93
III Year B-Wing,"Aug 31 2025, 14:00:00",50.16,1.78,17.80,322.67,3226.70,0.24,4504449.50,243.14,0.58,0.93
III Year B-Wing,"Aug 31 2025, 13:00:00",50.25,1.65,16.50,322.54,3225.40,0.24,4504320.00,242.54,0.58,0.93
III Year B-Wing,"Aug 31 2025, 12:00:00",50.10,1.52,15.20,322.41,3224.10,0.24,4504190.00,242.62,0.58,0.93
III Year B-Wing,"Aug 31 2025, 10:00:00",50.06,1.26,12.60,322.15,3221.50,0.24,4503929.50,240.38,0.58,0.93
III Year B-Wing,"Aug 31 2025, 09:00:00",50.02,1.13,11.30,322.02,3220.20,0.24,4503800.00,241.45,0.58,0.93
III Year B-Wing,"Aug 31 2025, 08:00:00",50.06,1.00,10.00,321.89,3218.90,0.24,4503670.00,240.37,0.58,0.93
III Year B-Wing,"Aug 31 2025, 07:00:00",50.04,0.88,8.80,321.77,3217.70,0.24,4503550.00,239.64,0.57,0.93
III Year B-Wing,"Aug 31 2025, 06:00:00",50.02,0.75,7.50,321.64,3216.40,0.24,4503420.00,240.01,0.58,0.93
III Year B-Wing,"Aug 31 2025, 05:00:00",50.02,0.62,6.20,321.51,3215.10,0.24,4503290.00,239.74,0.57,0.93
III Year B-Wing,"Aug 31 2025, 04:00:00",50.00,0.49,4.90,321.38,3213.80,0.24,4503159.50,242.42,0.58,0.93
III Year B-Wing,"Aug 31 2025, 03:00:00",50.01,0.36,3.60,321.25,3212.50,0.24,4503030.00,241.76,0.59,0.93
III Year B-Wing,"Aug 31 2025, 02:00:00",50.06,0.24,2.40,321.13,3211.30,0.24,4502909.50,241.51,0.58,0.93
III Year B-Wing,"Aug 31 2025, 01:00:00",50.01,0.12,1.20,321.01,3210.10,0.24,4502790.00,236.12,0.57,0.93
III Year B-Wing,"Aug 31 2025, 00:00:00",50.01,43.09,430.90,368.00,3680.00,0.28,4502670.00,239.99,0.58,0.93
III Year B-Wing,"Aug 30 2025, 23:00:00",50.04,9.90,99.00,320.78,3207.80,0.24,4502560.00,242.53,0.58,0.93
III Year B-Wing,"Aug 30 2025, 22:00:00",50.02,9.77,97.70,320.65,3206.50,0.24,4502429.50,239.47,0.57,0.93
III Year B-Wing,"Aug 30 2025, 21:00:00",50.04,9.64,96.40,320.52,3205.20,0.24,4502300.00,238.40,0.57,0.93
III Year B-Wing,"Aug 30 2025, 20:00:00",50.04,9.51,95.10,320.39,3203.90,0.24,4502170.00,241.05,0.58,0.93
III Year B-Wing,"Aug 30 2025, 19:00:00",50.06,9.38,93.80,320.26,3202.60,0.24,4502040.00,243.22,0.58,0.93
III Year B-Wing,"Aug 30 2025, 18:00:00",49.94,9.25,92.50,320.13,3201.30,0.24,4501909.50,241.08,0.58,0.93
III Year B-Wing,"Aug 30 2025, 17:00:00",49.90,9.12,91.20,320.00,3200.00,0.24,4501780.00,240.00,0.58,0.93
III Year B-Wing,"Aug 30 2025, 16:00:00",50.06,8.99,89.90,319.87,3198.70,0.24,4501650.00,238.50,0.58,0.94
III Year B-Wing,"Aug 30 2025, 14:00:00",50.09,7.84,78.40,318.72,3187.20,0.24,4500500.00,235.88,3.12,-1.00
III Year B-Wing,"Aug 30 2025, 13:00:00",50.24,6.81,68.10,317.69,3176.90,0.24,4499469.50,237.78,4.57,-1.00
III Year B-Wing,"Aug 30 2025, 12:00:00",49.99,5.74,57.40,316.62,3166.20,0.24,4498400.00,240.45,4.52,-1.00
III Year B-Wing,"Aug 30 2025, 11:00:00",49.99,4.65,46.50,315.53,3155.30,0.24,4497310.00,235.55,4.56,-1.00
III Year B-Wing,"Aug 30 2025, 10:00:00",50.05,3.58,35.80,314.46,3144.60,0.24,4496239.50,239.42,4.53,-1.00
III Year B-Wing,"Aug 30 2025, 09:00:00",50.01,2.38,23.80,313.26,3132.60,0.23,4495040.00,231.38,7.72,-1.00
III Year B-Wing,"Aug 30 2025, 08:00:00",50.03,1.24,12.40,312.12,3121.20,0.23,4493900.00,237.42,4.20,-1.00
III Year B-Wing,"Aug 30 2025, 07:00:00",50.01,0.91,9.10,311.79,3117.90,0.23,4493570.00,238.47,0.57,0.93
III Year B-Wing,"Aug 30 2025, 06:00:00",50.03,0.78,7.80,311.66,3116.60,0.23,4493440.00,238.41,0.58,0.93
III Year B-Wing,"Aug 30 2025, 05:00:00",50.06,0.65,6.50,311.53,3115.30,0.23,4493310.00,240.41,0.58,0.93
III Year B-Wing,"Aug 30 2025, 04:00:00",49.99,0.52,5.20,311.40,3114.00,0.23,4493179.50,242.11,0.58,0.93
III Year B-Wing,"Aug 30 2025, 03:00:00",49.97,0.39,3.90,311.27,3112.70,0.23,4493050.00,241.79,0.58,0.93
III Year B-Wing,"Aug 30 2025, 02:00:00",50.00,0.26,2.60,311.14,3111.40,0.23,4492920.00,241.70,0.58,0.93
III Year B-Wing,"Aug 30 2025, 01:00:00",50.03,0.13,1.30,311.01,3110.10,0.23,4492790.00,242.20,0.58,0.93
III Year B-Wing,"Aug 30 2025, 00:00:00",50.03,33.08,330.80,347.98,3479.80,0.26,4492659.50,241.60,0.58,0.93
III Year B-Wing,"Aug 29 2025, 23:00:00",50.04,16.14,161.40,310.75,3107.50,0.23,4492530.00,241.61,0.58,0.93
III Year B-Wing,"Aug 29 2025, 22:00:00",50.02,16.02,160.20,310.63,3106.30,0.23,4492409.50,237.08,0.57,0.93
III Year B-Wing,"Aug 29 2025, 21:00:00",50.04,15.85,158.50,310.46,3104.60,0.23,4492239.50,233.65,2.12,1.00
III Year B-Wing,"Aug 29 2025, 20:00:00",50.09,15.34,153.40,309.95,3099.50,0.23,4491730.00,239.50,2.12,1.00
III Year B-Wing,"Aug 29 2025, 19:00:00",49.87,14.84,148.40,309.45,3094.50,0.23,4491230.00,237.81,2.11,1.00
III Year B-Wing,"Aug 29 2025, 18:00:00",50.06,14.37,143.70,308.98,3089.80,0.23,4490760.00,238.45,2.11,1.00
III Year B-Wing,"Aug 29 2025, 17:00:00",50.07,13.87,138.70,308.48,3084.80,0.23,4490260.00,238.95,2.11,1.00
