Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor
III Year B-Wing,"Aug 29 2025, 16:00:00",50.08,13.38,133.80,307.99,3079.90,0.23,4489770.00,239.49,2.12,1.00
III Year B-Wing,"Aug 29 2025, 15:00:00",49.82,12.55,125.50,307.16,3071.60,0.23,4488940.00,237.78,4.57,-1.00
III Year B-Wing,"Aug 29 2025, 14:00:00",50.07,11.30,113.00,305.91,3059.10,0.23,4487690.00,230.10,7.70,-1.00
III Year B-Wing,"Aug 29 2025, 13:00:00",50.28,9.55,95.50,304.16,3041.60,0.23,4485940.00,238.76,4.54,-1.00
III Year B-Wing,"Aug 29 2025, 12:00:00",50.18,8.39,83.90,303.00,3030.00,0.23,4484780.00,238.19,8.83,-1.00
III Year B-Wing,"Aug 29 2025, 11:00:00",50.00,6.32,63.20,300.93,3009.30,0.23,4482710.00,233.40,8.81,-1.00
III Year B-Wing,"Aug 29 2025, 10:00:00",50.10,4.34,43.40,298.95,2989.50,0.22,4480730.00,233.02,8.48,-1.00
III Year B-Wing,"Aug 29 2025, 09:00:00",50.01,2.47,24.70,297.08,2970.80,0.22,4478860.00,230.34,7.78,-1.00
III Year B-Wing,"Aug 29 2025, 08:00:00",50.08,1.19,11.90,295.80,2958.00,0.22,4477580.00,237.83,4.18,-1.00
III Year B-Wing,"Aug 29 2025, 06:00:00",50.06,0.76,7.60,295.37,2953.70,0.22,4477150.00,237.81,0.58,0.94
III Year B-Wing,"Aug 29 2025, 05:00:00",49.98,0.65,6.50,295.26,2952.60,0.22,4477040.00,239.28,0.57,0.93
III Year B-Wing,"Aug 29 2025, 04:00:00",50.01,0.52,5.20,295.13,2951.30,0.22,4476909.50,239.40,0.57,0.93
III Year B-Wing,"Aug 29 2025, 03:00:00",50.03,0.39,3.90,295.00,2950.00,0.22,4476780.00,240.39,0.58,0.93
III Year B-Wing,"Aug 29 2025, 02:00:00",49.98,0.26,2.60,294.87,2948.70,0.22,4476650.00,240.37,0.58,0.93
III Year B-Wing,"Aug 29 2025, 01:00:00",50.02,0.13,1.30,294.74,2947.40,0.22,4476520.00,240.49,0.58,0.93
III Year B-Wing,"Aug 29 2025, 00:00:00",49.96,16.81,168.10,315.44,3154.40,0.24,4476389.50,239.49,0.57,0.93
III Year B-Wing,"Aug 28 2025, 23:00:00",50.03,13.35,133.50,294.48,2944.80,0.22,4476260.00,240.79,0.58,0.93
III Year B-Wing,"Aug 28 2025, 22:00:00",50.06,13.22,132.20,294.35,2943.50,0.22,4476130.00,239.54,0.57,0.93
III Year B-Wing,"Aug 28 2025, 21:00:00",50.04,13.07,130.70,294.20,2942.00,0.22,4475980.00,239.21,2.46,0.57
III Year B-Wing,"Aug 28 2025, 20:00:00",50.12,12.73,127.30,293.86,2938.60,0.22,4475639.50,240.10,2.46,0.57
III Year B-Wing,"Aug 28 2025, 19:00:00",49.87,12.39,123.90,293.52,2935.20,0.22,4475300.00,239.51,2.46,0.57
III Year B-Wing,"Aug 28 2025, 18:00:00",50.06,12.23,122.30,293.36,2933.60,0.22,4475139.50,239.51,0.57,0.93
III Year B-Wing,"Aug 28 2025, 17:00:00",50.06,12.10,121.00,293.23,2932.30,0.22,4475010.00,242.28,0.58,0.93
III Year B-Wing,"Aug 28 2025, 16:00:00",50.05,11.96,119.60,293.09,2930.90,0.22,4474870.00,240.46,0.59,0.94
III Year B-Wing,"Aug 28 2025, 15:00:00",50.03,11.11,111.10,292.24,2922.40,0.22,4474020.00,230.99,4.03,-1.00
III Year B-Wing,"Aug 28 2025, 14:00:00",50.00,10.19,101.90,291.32,2913.20,0.22,4473100.00,236.89,4.02,-1.00
III Year B-Wing,"Aug 28 2025, 13:00:00",50.34,8.46,84.60,289.59,2895.90,0.22,4471370.00,238.12,3.82,-1.00
III Year B-Wing,"Aug 28 2025, 10:00:00",50.03,4.30,43.00,285.43,2854.30,0.21,4467210.00,235.23,5.30,-1.00
III Year B-Wing,"Aug 28 2025, 08:00:00",50.03,1.16,11.60,282.29,2822.90,0.21,4464070.00,235.44,2.98,-1.00
III Year B-Wing,"Aug 28 2025, 07:00:00",50.02,0.91,9.10,282.04,2820.40,0.21,4463820.00,239.48,0.57,0.93
III Year B-Wing,"Aug 28 2025, 05:00:00",50.08,0.66,6.60,281.79,2817.90,0.21,4463570.00,242.19,0.58,0.93
III Year B-Wing,"Aug 28 2025, 04:00:00",50.05,0.53,5.30,281.66,2816.60,0.21,4463440.00,242.66,0.58,0.93
III Year B-Wing,"Aug 28 2025, 03:00:00",50.07,0.39,3.90,281.52,2815.20,0.21,4463300.00,242.57,0.58,0.93
III Year B-Wing,"Aug 28 2025, 02:00:00",50.00,0.26,2.60,281.39,2813.90,0.21,4463170.00,240.94,0.58,0.93
III Year B-Wing,"Aug 28 2025, 01:00:00",49.97,0.13,1.30,281.26,2812.60,0.21,4463040.00,243.32,0.58,0.93
III Year B-Wing,"Aug 28 2025, 00:00:00",49.92,3.33,33.30,288.48,2884.80,0.22,4462909.50,242.50,0.58,0.93
III Year B-Wing,"Aug 27 2025, 23:00:00",49.98,3.20,32.00,281.00,2810.00,0.21,4462780.00,241.43,0.58,0.93
III Year B-Wing,"Aug 27 2025, 22:00:00",49.98,3.08,30.80,280.88,2808.80,0.21,4462659.50,238.52,0.57,0.93
III Year B-Wing,"Aug 27 2025, 21:00:00",50.04,2.95,29.50,280.75,2807.50,0.21,4462530.00,237.68,0.57,0.93
III Year B-Wing,"Aug 27 2025, 20:00:00",50.06,2.82,28.20,280.62,2806.20,0.21,4462400.00,236.45,0.57,0.93
III Year B-Wing,"Aug 27 2025, 19:00:00",49.97,2.58,25.80,280.38,2803.80,0.21,4462159.50,235.43,2.40,0.58
III Year B-Wing,"Aug 27 2025, 18:00:00",50.08,2.35,23.50,280.15,2801.50,0.21,4461929.50,239.86,0.58,0.93
III Year B-Wing,"Aug 27 2025, 17:00:00",50.09,2.22,22.20,280.02,2800.20,0.21,4461800.00,242.10,0.58,0.93
III Year B-Wing,"Aug 27 2025, 16:00:00",50.05,2.09,20.90,279.89,2798.90,0.21,4461670.00,241.32,0.58,0.93
III Year B-Wing,"Aug 27 2025, 15:00:00",49.74,1.96,19.60,279.76,2797.60,0.21,4461540.00,238.69,0.57,0.93
III Year B-Wing,"Aug 27 2025, 14:00:00",50.02,1.83,18.30,279.63,2796.30,0.21,4461409.50,243.13,0.58,0.93
III Year B-Wing,"Aug 27 2025, 13:00:00",50.06,1.70,17.00,279.50,2795.00,0.21,4461280.00,245.74,0.58,0.93
III Year B-Wing,"Aug 27 2025, 12:00:00",50.05,1.56,15.60,279.36,2793.60,0.21,4461139.50,243.62,0.58,0.93
III Year B-Wing,"Aug 27 2025, 11:00:00",50.02,1.43,14.30,279.23,2792.30,0.21,4461010.00,244.77,0.58,0.93
III Year B-Wing,"Aug 27 2025, 10:00:00",50.12,1.30,13.00,279.10,2791.00,0.21,4460880.00,243.19,0.58,0.93
III Year B-Wing,"Aug 27 2025, 09:00:00",50.02,1.17,11.70,278.97,2789.70,0.21,4460750.00,240.59,0.58,0.93
III Year B-Wing,"Aug 27 2025, 08:00:00",49.98,1.04,10.40,278.84,2788.40,0.21,4460620.00,238.95,0.58,0.93
III Year B-Wing,"Aug 27 2025, 07:00:00",50.05,0.91,9.10,278.71,2787.10,0.21,4460489.50,238.76,0.57,0.93
III Year B-Wing,"Aug 27 2025, 06:00:00",50.05,0.78,7.80,278.58,2785.80,0.21,4460360.00,241.66,0.58,0.93
III Year B-Wing,"Aug 27 2025, 04:00:00",49.96,0.52,5.20,278.32,2783.20,0.21,4460100.00,242.91,0.58,0.93
III Year B-Wing,"Aug 27 2025, 03:00:00",50.03,0.39,3.90,278.19,2781.90,0.21,4459969.50,242.39,0.58,0.93
III Year B-Wing,"Aug 27 2025, 02:00:00",49.95,0.26,2.60,278.06,2780.60,0.21,4459840.00,243.12,0.58,0.93
III Year B-Wing,"Aug 27 2025, 01:00:00",49.96,0.13,1.30,277.93,2779.30,0.21,4459710.00,243.34,0.58,0.93
III Year B-Wing,"Aug 26 2025, 23:00:00",49.87,13.36,133.60,277.67,2776.70,0.21,4459449.50,242.74,0.58,0.93
III Year B-Wing,"Aug 26 2025, 22:00:00",50.05,13.24,132.40,277.55,2775.50,0.21,4459330.00,240.67,0.58,0.93
III Year B-Wing,"Aug 26 2025, 21:00:00",50.03,13.11,131.10,277.42,2774.20,0.21,4459199.50,239.15,0.57,0.93
III Year B-Wing,"Aug 26 2025, 20:00:00",50.11,12.98,129.80,277.29,2772.90,0.21,4459070.00,242.58,0.58,0.93
III Year B-Wing,"Aug 26 2025, 19:00:00",50.05,12.85,128.50,277.16,2771.60,0.21,4458940.00,239.30,0.59,0.93
III Year B-Wing,"Aug 26 2025, 18:00:00",50.02,12.76,127.60,288.75,2887.50,0.22,4458850.00,241.95,0.58,0.93
III Year B-Wing,"Aug 26 2025, 17:00:00",50.10,12.63,126.30,288.62,2886.20,0.22,4458719.50,243.46,0.59,0.94
III Year B-Wing,"Aug 26 2025, 16:00:00",49.98,12.43,124.30,288.42,2884.20,0.22,4458520.00,240.55,2.46,-1.00
III Year B-Wing,"Aug 26 2025, 15:00:00",50.04,11.02,110.20,287.01,2870.10,0.22,4457110.00,234.09,7.96,-1.00
III Year B-Wing,"Aug 26 2025, 14:00:00",50.07,9.21,92.10,285.20,2852.00,0.21,4455300.00,231.20,8.64,-1.00
III Year B-Wing,"Aug 26 2025, 12:00:00",50.05,5.62,56.20,281.61,2816.10,0.21,4451710.00,238.74,5.76,-1.00
III Year B-Wing,"Aug 26 2025, 11:00:00",49.97,4.48,44.80,280.47,2804.70,0.21,4450570.00,237.30,3.77,-1.00
III Year B-Wing,"Aug 26 2025, 10:00:00",50.00,3.62,36.20,279.61,2796.10,0.21,4449710.00,242.56,3.13,-1.00
III Year B-Wing,"Aug 26 2025, 09:00:00",50.02,2.31,23.10,278.30,2783.00,0.21,4448400.00,235.77,7.30,-1.00
III Year B-Wing,"Aug 26 2025, 08:00:00",49.99,1.20,12.00,277.19,2771.90,0.21,4447290.00,238.02,2.98,-1.00
III Year B-Wing,"Aug 26 2025, 07:00:00",50.03,0.91,9.10,276.90,2769.00,0.21,4447000.00,239.60,0.57,0.93
III Year B-Wing,"Aug 26 2025, 06:00:00",50.07,0.78,7.80,276.77,2767.70,0.21,4446870.00,238.04,0.57,0.93
III Year B-Wing,"Aug 26 2025, 05:00:00",49.94,0.66,6.60,276.65,2766.50,0.21,4446750.00,240.45,0.58,0.93
III Year B-Wing,"Aug 26 2025, 04:00:00",50.01,0.53,5.30,276.52,2765.20,0.21,4446620.00,241.59,0.58,0.93
III Year B-Wing,"Aug 26 2025, 03:00:00",49.96,0.40,4.00,276.39,2763.90,0.21,4446489.50,240.45,0.57,0.93
III Year B-Wing,"Aug 26 2025, 02:00:00",49.98,0.27,2.70,276.26,2762.60,0.21,4446360.00,241.96,0.58,0.93
III Year B-Wing,"Aug 26 2025, 01:00:00",50.04,0.14,1.40,276.13,2761.30,0.21,4446230.00,242.01,0.58,0.93
III Year B-Wing,"Aug 26 2025, 00:00:00",50.05,17.24,172.40,276.00,2760.00,0.21,4446100.00,241.45,0.58,0.93
III Year B-Wing,"Aug 25 2025, 23:00:00",49.99,20.37,203.70,275.87,2758.70,0.21,4445969.50,241.41,0.58,0.93
III Year B-Wing,"Aug 25 2025, 22:00:00",50.02,20.24,202.40,275.74,2757.40,0.21,4445840.00,237.58,0.57,0.93
III Year B-Wing,"Aug 25 2025, 21:00:00",49.99,20.11,201.10,275.61,2756.10,0.21,4445710.00,235.60,0.57,0.93
III Year B-Wing,"Aug 25 2025, 20:00:00",50.06,19.89,198.90,275.39,2753.90,0.21,4445489.50,238.48,2.09,0.91
III Year B-Wing,"Aug 25 2025, 19:00:00",50.06,19.45,194.50,274.95,2749.50,0.21,4445050.00,239.37,1.57,0.99
III Year B-Wing,"Aug 25 2025, 18:00:00",50.09,19.08,190.80,274.58,2745.80,0.21,4444679.50,242.19,1.57,0.99
III Year B-Wing,"Aug 25 2025, 17:00:00",49.98,18.72,187.20,274.22,2742.20,0.21,4444320.00,240.84,1.22,0.99
III Year B-Wing,"Aug 25 2025, 16:00:00",49.94,18.40,184.00,273.90,2739.00,0.21,4444000.00,239.97,1.54,1.00
III Year B-Wing,"Aug 25 2025, 15:00:00",50.29,17.51,175.10,273.01,2730.10,0.20,4443110.00,230.77,8.90,-1.00
III Year B-Wing,"Aug 25 2025, 14:00:00",50.09,15.45,154.50,270.95,2709.50,0.20,4441050.00,238.00,8.84,-1.00
III Year B-Wing,"Aug 25 2025, 13:00:00",50.10,13.39,133.90,268.89,2688.90,0.20,4438989.50,231.14,8.95,-1.00
III Year B-Wing,"Aug 25 2025, 12:00:00",50.12,11.37,113.70,266.87,2668.70,0.20,4436969.50,232.07,8.66,-1.00
III Year B-Wing,"Aug 25 2025, 11:00:00",50.06,9.66,96.60,265.16,2651.60,0.20,4435260.00,234.75,7.00,-1.00
III Year B-Wing,"Aug 25 2025, 10:00:00",50.01,8.05,80.50,263.55,2635.50,0.20,4433650.00,233.09,8.69,-1.00
III Year B-Wing,"Aug 25 2025, 09:00:00",50.04,6.05,60.50,261.55,2615.50,0.20,4431650.00,232.88,8.34,-1.00
III Year B-Wing,"Aug 25 2025, 08:00:00",50.14,4.45,44.50,259.95,2599.50,0.19,4430050.00,233.39,2.97,-1.00
III Year B-Wing,"Aug 25 2025, 07:00:00",50.01,4.19,41.90,259.69,2596.90,0.19,4429790.00,239.18,0.58,0.94
III Year B-Wing,"Aug 25 2025, 06:00:00",50.07,4.06,40.60,259.56,2595.60,0.19,4429659.50,237.40,0.58,0.94
III Year B-Wing,"Aug 25 2025, 05:00:00",50.05,3.93,39.30,259.43,2594.30,0.19,4429530.00,241.35,0.59,0.94
III Year B-Wing,"Aug 25 2025, 04:00:00",49.98,3.79,37.90,259.29,2592.90,0.19,4429389.50,242.64,0.59,0.94
III Year B-Wing,"Aug 25 2025, 03:00:00",49.97,3.66,36.60,259.16,2591.60,0.19,4429260.00,242.72,0.59,0.94
III Year B-Wing,"Aug 25 2025, 02:00:00",49.96,3.53,35.30,259.03,2590.30,0.19,4429130.00,241.23,0.59,0.94
III Year B-Wing,"Aug 25 2025, 01:00:00",50.06,3.39,33.90,258.89,2588.90,0.19,4428989.50,242.42,0.59,0.94
III Year B-Wing,"Aug 25 2025, 00:00:00",50.02,3.26,32.60,258.76,2587.60,0.19,4428860.00,241.05,0.58,0.94
III Year B-Wing,"Aug 24 2025, 23:00:00",50.04,12.86,128.60,258.63,2586.30,0.19,4428730.00,240.26,0.58,0.94
III Year B-Wing,"Aug 24 2025, 22:00:00",50.05,12.73,127.30,258.50,2585.00,0.19,4428600.00,237.82,0.58,0.95
III Year B-Wing,"Aug 24 2025, 21:00:00",50.01,12.60,126.00,258.37,2583.70,0.19,4428469.50,239.37,0.58,0.94
III Year B-Wing,"Aug 24 2025, 19:00:00",50.08,12.13,121.30,257.90,2579.00,0.19,4428000.00,238.66,0.58,0.94
III Year B-Wing,"Aug 24 2025, 18:00:00",49.96,12.00,120.00,257.77,2577.70,0.19,4427870.00,242.74,0.59,0.94
III Year B-Wing,"Aug 24 2025, 17:00:00",50.05,11.87,118.70,257.64,2576.40,0.19,4427739.50,242.46,0.59,0.94
III Year B-Wing,"Aug 24 2025, 16:00:00",50.02,11.73,117.30,257.50,2575.00,0.19,4427600.00,243.53,0.59,0.94
III Year B-Wing,"Aug 24 2025, 15:00:00",50.03,11.60,116.00,257.37,2573.70,0.19,4427469.50,240.95,0.58,0.94
III Year B-Wing,"Aug 24 2025, 14:00:00",50.16,11.47,114.70,257.24,2572.40,0.19,4427340.00,245.02,0.59,0.94
III Year B-Wing,"Aug 24 2025, 13:00:00",50.19,11.33,113.30,257.10,2571.00,0.19,4427199.50,244.24,0.59,0.94
III Year B-Wing,"Aug 24 2025, 12:00:00",50.12,11.19,111.90,256.96,2569.60,0.19,4427060.00,241.36,0.59,0.94
III Year B-Wing,"Aug 24 2025, 11:00:00",50.06,11.06,110.60,256.83,2568.30,0.19,4426929.50,242.63,0.59,0.94
III Year B-Wing,"Aug 24 2025, 10:00:00",49.93,10.93,109.30,256.70,2567.00,0.19,4426800.00,241.77,0.59,0.94
III Year B-Wing,"Aug 24 2025, 09:00:00",50.03,10.79,107.90,256.56,2565.60,0.19,4426659.50,240.25,0.58,0.94
III Year B-Wing,"Aug 24 2025, 08:00:00",50.00,10.66,106.60,256.43,2564.30,0.19,4426530.00,237.56,0.58,0.94
III Year B-Wing,"Aug 24 2025, 07:00:00",49.97,10.53,105.30,256.30,2563.00,0.19,4426400.00,237.88,0.58,0.94
III Year B-Wing,"Aug 24 2025, 06:00:00",50.06,10.40,104.00,256.17,2561.70,0.19,4426270.00,240.62,0.58,0.94
III Year B-Wing,"Aug 24 2025, 05:00:00",50.03,10.27,102.70,256.04,2560.40,0.19,4426139.50,240.28,0.58,0.94
III Year B-Wing,"Aug 24 2025, 04:00:00",50.01,10.14,101.40,255.91,2559.10,0.19,4426010.00,241.49,0.59,0.94
III Year B-Wing,"Aug 24 2025, 03:00:00",49.97,10.00,100.00,255.77,2557.70,0.19,4425870.00,240.84,0.58,0.94
III Year B-Wing,"Aug 24 2025, 02:00:00",50.06,9.87,98.70,255.64,2556.40,0.19,4425739.50,242.49,0.59,0.94
III Year B-Wing,"Aug 24 2025, 00:00:00",49.89,9.60,96.00,255.37,2553.70,0.19,4425469.50,243.42,0.59,0.94
III Year B-Wing,"Aug 23 2025, 23:00:00",49.96,24.22,242.20,255.24,2552.40,0.19,4425340.00,242.14,0.59,0.94
III Year B-Wing,"Aug 23 2025, 22:00:00",50.04,24.08,240.80,255.10,2551.00,0.19,4425199.50,241.81,0.59,0.94
III Year B-Wing,"Aug 23 2025, 21:00:00",50.01,23.88,238.80,254.90,2549.00,0.19,4425000.00,239.09,2.45,0.58
III Year B-Wing,"Aug 23 2025, 20:00:00",50.13,23.65,236.50,254.67,2546.70,0.19,4424770.00,240.51,0.59,0.94
III Year B-Wing,"Aug 23 2025, 18:00:00",50.10,23.38,233.80,254.40,2544.00,0.19,4424500.00,243.01,0.59,0.94
III Year B-Wing,"Aug 23 2025, 17:00:00",50.10,23.25,232.50,254.27,2542.70,0.19,4424370.00,241.73,0.59,0.94
III Year B-Wing,"Aug 23 2025, 16:00:00",49.98,23.11,231.10,254.13,2541.30,0.19,4424230.00,241.03,0.58,0.94
III Year B-Wing,"Aug 23 2025, 15:00:00",50.13,22.46,224.60,253.48,2534.80,0.19,4423580.00,235.96,4.05,-1.00
III Year B-Wing,"Aug 23 2025, 14:00:00",50.09,21.53,215.30,252.55,2525.50,0.19,4422650.00,232.98,4.44,-1.00
III Year B-Wing,"Aug 23 2025, 13:00:00",50.28,19.97,199.70,250.99,2509.90,0.19,4421090.00,235.88,4.23,-1.00
III Year B-Wing,"Aug 23 2025, 12:00:00",50.12,19.00,190.00,250.02,2500.20,0.19,4420120.00,236.01,3.85,-1.00
III Year B-Wing,"Aug 23 2025, 11:00:00",50.26,18.52,185.20,249.54,2495.40,0.19,4419639.50,239.97,0.58,0.94
III Year B-Wing,"Aug 23 2025, 10:00:00",50.04,18.36,183.60,249.38,2493.80,0.19,4419480.00,236.90,3.35,-1.00
III Year B-Wing,"Aug 23 2025, 09:00:00",50.01,17.38,173.80,248.40,2484.00,0.19,4418500.00,231.78,4.55,-1.00
III Year B-Wing,"Aug 23 2025, 08:00:00",49.96,16.44,164.40,247.46,2474.60,0.19,4417560.00,235.48,3.00,-1.00
III Year B-Wing,"Aug 23 2025, 07:00:00",50.01,16.24,162.40,247.26,2472.60,0.19,4417360.00,238.66,0.58,0.94
III Year B-Wing,"Aug 23 2025, 06:00:00",50.09,16.07,160.70,247.09,2470.90,0.19,4417190.00,242.20,1.73,0.64
III Year B-Wing,"Aug 23 2025, 05:00:00",50.09,15.82,158.20,246.84,2468.40,0.19,4416940.00,242.87,1.74,0.64
III Year B-Wing,"Aug 23 2025, 04:00:00",50.11,15.56,155.60,246.58,2465.80,0.18,4416679.50,245.01,1.76,0.63
III Year B-Wing,"Aug 23 2025, 03:00:00",50.06,15.29,152.90,246.31,2463.10,0.18,4416409.50,241.11,1.72,0.64
III Year B-Wing,"Aug 23 2025, 02:00:00",50.04,15.02,150.20,246.04,2460.40,0.18,4416139.50,240.98,1.72,0.63
