Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
IV Year A-Wing,"Jul 31 2025, 23:00:00",49.97,8.95,89.50,141.43,1414.30,0.11,1931820.00,242.90,0.00,1.00,0.00
IV Year A-Wing,"Jul 31 2025, 22:00:00",50.05,8.95,89.50,141.43,1414.30,0.11,1931820.00,241.82,0.00,1.00,0.00
IV Year A-Wing,"Jul 31 2025, 20:00:00",50.10,8.95,89.50,141.43,1414.30,0.11,1931820.00,242.70,0.00,1.00,0.00
IV Year A-Wing,"Jul 31 2025, 19:00:00",50.07,8.95,89.50,141.43,1414.30,0.11,1931820.00,240.92,0.00,1.00,0.00
IV Year A-Wing,"Jul 31 2025, 18:00:00",50.10,8.89,88.90,141.37,1413.70,0.11,1931760.00,241.81,0.77,1.00,0.18
IV Year A-Wing,"Jul 31 2025, 17:00:00",49.97,8.72,87.20,141.20,1412.00,0.11,1931590.00,242.44,0.77,0.99,0.18
IV Year A-Wing,"Jul 31 2025, 16:00:00",49.90,8.54,85.40,141.02,1410.20,0.11,1931410.00,241.21,0.76,0.99,0.17
IV Year A-Wing,"Jul 31 2025, 15:00:00",50.03,8.09,80.90,140.57,1405.70,0.11,1930960.00,239.18,2.28,-1.00,0.54
IV Year A-Wing,"Jul 31 2025, 14:00:00",50.04,7.45,74.50,139.93,1399.30,0.10,1930320.00,237.84,1.78,-0.99,0.40
IV Year A-Wing,"Jul 31 2025, 13:00:00",50.28,7.09,70.90,139.57,1395.70,0.10,1929960.00,237.65,1.60,-1.00,0.37
IV Year A-Wing,"Jul 31 2025, 11:00:00",50.08,6.50,65.00,138.98,1389.80,0.10,1929370.00,238.91,1.12,-1.00,0.26
IV Year A-Wing,"Jul 31 2025, 10:00:00",50.16,6.25,62.50,138.73,1387.30,0.10,1929120.00,239.44,0.76,1.00,0.17
IV Year A-Wing,"Jul 31 2025, 09:00:00",50.05,5.80,58.00,138.28,1382.80,0.10,1928670.00,235.81,2.34,-1.00,0.55
IV Year A-Wing,"Jul 31 2025, 08:00:00",50.06,5.45,54.50,137.93,1379.30,0.10,1928320.00,239.15,0.00,1.00,0.00
IV Year A-Wing,"Jul 31 2025, 07:00:00",49.96,5.45,54.50,137.93,1379.30,0.10,1928320.00,241.88,0.00,1.00,0.00
IV Year A-Wing,"Jul 31 2025, 06:00:00",50.05,5.45,54.50,137.93,1379.30,0.10,1928320.00,238.94,0.00,1.00,0.00
IV Year A-Wing,"Jul 31 2025, 05:00:00",50.06,5.45,54.50,137.93,1379.30,0.10,1928320.00,242.53,0.00,1.00,0.00
IV Year A-Wing,"Jul 31 2025, 04:00:00",50.04,5.45,54.50,137.93,1379.30,0.10,1928320.00,243.93,0.00,1.00,0.00
IV Year A-Wing,"Jul 31 2025, 03:00:00",49.98,5.45,54.50,137.93,1379.30,0.10,1928320.00,242.48,0.00,1.00,0.00
