Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
MI Lab Wing,"Jul 31 2025, 23:00:00",49.97,13.32,133.20,260.20,2602.00,0.20,3944400.00,241.42,1.21,0.90,0.26
MI Lab Wing,"Jul 31 2025, 21:00:00",50.05,12.80,128.00,259.68,2596.80,0.19,3943880.00,238.05,1.21,0.91,0.26
MI Lab Wing,"Jul 31 2025, 20:00:00",50.10,12.54,125.40,259.42,2594.20,0.19,3943620.00,241.78,1.21,0.90,0.26
MI Lab Wing,"Jul 31 2025, 19:00:00",50.07,12.27,122.70,259.15,2591.50,0.19,3943350.00,239.99,1.21,0.90,0.26
MI Lab Wing,"Jul 31 2025, 18:00:00",50.09,12.01,120.10,258.89,2588.90,0.19,3943090.00,242.44,1.21,0.90,0.26
MI Lab Wing,"Jul 31 2025, 17:00:00",49.97,11.48,114.80,258.36,2583.60,0.19,3942560.00,241.06,2.89,0.90,0.63
MI Lab Wing,"Jul 31 2025, 16:00:00",49.91,10.79,107.90,257.67,2576.70,0.19,3941870.00,238.58,5.18,0.98,1.21
MI Lab Wing,"Jul 31 2025, 15:00:00",50.04,9.61,96.10,256.49,2564.90,0.19,3940690.00,242.16,4.12,0.98,0.98
MI Lab Wing,"Jul 31 2025, 13:00:00",50.30,7.80,78.00,254.68,2546.80,0.19,3938880.00,242.11,4.37,0.97,1.02
MI Lab Wing,"Jul 31 2025, 11:00:00",50.08,4.43,44.30,251.31,2513.10,0.19,3935510.00,236.10,9.23,1.00,2.17
MI Lab Wing,"Jul 31 2025, 10:00:00",50.18,2.26,22.60,249.14,2491.40,0.19,3933340.00,236.44,9.89,1.00,2.33
MI Lab Wing,"Jul 31 2025, 09:00:00",50.04,0.75,7.50,247.63,2476.30,0.19,3931830.00,237.99,3.32,0.97,0.77
MI Lab Wing,"Jul 31 2025, 08:00:00",50.06,0.06,0.60,246.94,2469.40,0.19,3931140.00,240.92,1.33,1.00,0.32
MI Lab Wing,"Jul 31 2025, 07:00:00",49.95,0.00,0.00,246.88,2468.80,0.19,3931080.00,243.50,0.00,1.00,0.00
MI Lab Wing,"Jul 31 2025, 06:00:00",50.05,0.00,0.00,246.88,2468.80,0.19,3931080.00,239.62,0.00,1.00,0.00
MI Lab Wing,"Jul 31 2025, 05:00:00",50.05,0.00,0.00,246.88,2468.80,0.19,3931080.00,243.45,0.00,1.00,0.00
MI Lab Wing,"Jul 31 2025, 04:00:00",50.05,0.00,0.00,246.88,2468.80,0.19,3931080.00,244.74,0.00,1.00,0.00
MI Lab Wing,"Jul 31 2025, 03:00:00",49.97,0.00,0.00,246.88,2468.80,0.19,3931080.00,243.35,0.00,1.00,0.00
MI Lab Wing,"Jul 31 2025, 02:00:00",50.03,0.00,0.00,246.88,2468.80,0.19,3931080.00,243.58,0.00,1.00,0.00
MI Lab Wing,"Jul 30 2025, 22:00:00",50.07,22.46,224.60,246.88,2468.80,0.19,3931080.00,241.07,0.00,1.00,0.00
MI Lab Wing,"Jul 30 2025, 21:00:00",50.07,22.18,221.80,246.60,2466.00,0.18,3930800.00,240.45,0.00,1.00,0.00
MI Lab Wing,"Jul 30 2025, 20:00:00",50.06,22.18,221.80,246.60,2466.00,0.18,3930800.00,244.57,0.00,1.00,0.00
MI Lab Wing,"Jul 30 2025, 19:00:00",50.03,22.18,221.80,246.60,2466.00,0.18,3930800.00,242.57,0.00,1.00,0.00
MI Lab Wing,"Jul 30 2025, 18:00:00",50.07,22.18,221.80,246.60,2466.00,0.18,3930800.00,243.55,0.00,1.00,0.00
MI Lab Wing,"Jul 30 2025, 17:00:00",50.09,22.17,221.70,246.59,2465.90,0.18,3930790.00,244.28,0.69,-0.99,0.16
MI Lab Wing,"Jul 30 2025, 16:00:00",50.07,21.76,217.60,246.18,2461.80,0.18,3930380.00,241.12,3.18,1.00,0.76
MI Lab Wing,"Jul 30 2025, 15:00:00",49.93,20.71,207.10,245.13,2451.30,0.18,3929330.00,240.76,5.16,1.00,1.23
MI Lab Wing,"Jul 30 2025, 14:00:00",50.03,19.66,196.60,244.08,2440.80,0.18,3928280.00,242.40,3.29,0.99,0.79
MI Lab Wing,"Jul 30 2025, 13:00:00",50.07,18.94,189.40,243.36,2433.60,0.18,3927560.00,242.03,3.26,0.99,0.78
MI Lab Wing,"Jul 30 2025, 12:00:00",50.12,18.01,180.10,242.43,2424.30,0.18,3926630.00,237.87,7.96,-1.00,1.88
