Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Line Voltage,Power Factor,Average Power
II Year B-Wing,"Jul 31 2025, 04:00:00",50.05,0.14,1.40,230.87,2308.70,0.17,5671470.00,244.12,0.14,-0.99,0.04
II Year B-Wing,"Jul 31 2025, 03:00:00",49.97,0.10,1.00,230.83,2308.30,0.17,5671430.00,242.74,0.14,-0.99,0.03
II Year B-Wing,"Jul 31 2025, 02:00:00",50.02,0.07,0.70,230.80,2308.00,0.17,5671400.00,242.02,0.14,-0.99,0.03
II Year B-Wing,"Jul 31 2025, 01:00:00",50.00,0.03,0.30,230.76,2307.60,0.17,5671360.00,241.42,0.15,-0.99,0.04
II Year B-Wing,"Jul 31 2025, 00:00:00",49.99,10.83,108.30,230.73,2307.30,0.17,5671330.00,241.05,0.15,-0.99,0.03
II Year B-Wing,"Jul 30 2025, 23:00:00",49.98,21.43,214.30,230.69,2306.90,0.17,5671290.00,240.15,0.15,-0.99,0.04
II Year B-Wing,"Jul 30 2025, 22:00:00",50.07,21.40,214.00,230.66,2306.60,0.17,5671260.00,239.50,0.15,-0.99,0.03
II Year B-Wing,"Jul 30 2025, 21:00:00",50.07,21.36,213.60,230.62,2306.20,0.17,5671220.00,239.55,0.15,-0.99,0.04
II Year B-Wing,"Jul 30 2025, 20:00:00",50.06,21.33,213.30,230.59,2305.90,0.17,5671190.00,242.44,0.15,-1.00,0.04
II Year B-Wing,"Jul 30 2025, 19:00:00",50.02,21.25,212.50,230.51,2305.10,0.17,5671110.00,240.13,0.70,0.61,0.10
II Year B-Wing,"Jul 30 2025, 18:00:00",50.07,21.15,211.50,230.41,2304.10,0.17,5671010.00,242.61,0.71,0.61,0.10
II Year B-Wing,"Jul 30 2025, 17:00:00",50.10,21.03,210.30,230.29,2302.90,0.17,5670890.00,244.92,1.29,0.89,0.28
II Year B-Wing,"Jul 30 2025, 16:00:00",50.08,20.75,207.50,230.01,2300.10,0.17,5670610.00,242.44,1.10,-1.00,0.27
II Year B-Wing,"Jul 30 2025, 15:00:00",49.94,19.88,198.80,229.14,2291.40,0.17,5669740.00,240.14,5.28,-1.00,1.26
II Year B-Wing,"Jul 30 2025, 14:00:00",50.01,18.93,189.30,228.19,2281.90,0.17,5668790.00,240.32,5.53,-1.00,1.32
II Year B-Wing,"Jul 30 2025, 13:00:00",50.06,17.63,176.30,226.89,2268.90,0.17,5667490.00,242.21,5.53,-1.00,1.33
II Year B-Wing,"Jul 30 2025, 12:00:00",50.12,16.36,163.60,225.62,2256.20,0.17,5666220.00,239.46,5.05,-1.00,1.20
II Year B-Wing,"Jul 30 2025, 11:00:00",50.11,15.24,152.40,224.50,2245.00,0.17,5665100.00,241.21,5.29,-1.00,1.27
II Year B-Wing,"Jul 30 2025, 10:00:00",49.99,13.84,138.40,223.10,2231.00,0.17,5663700.00,241.88,6.26,-1.00,1.50
II Year B-Wing,"Jul 30 2025, 09:00:00",50.02,12.44,124.40,221.70,2217.00,0.17,5662300.00,239.09,5.28,-1.00,1.26
II Year B-Wing,"Jul 30 2025, 08:00:00",50.08,11.23,112.30,220.49,2204.90,0.17,5661090.00,242.53,4.38,-1.00,1.06
II Year B-Wing,"Jul 30 2025, 07:00:00",49.89,10.98,109.80,220.24,2202.40,0.17,5660840.00,240.17,0.08,1.00,0.02
II Year B-Wing,"Jul 30 2025, 03:00:00",50.00,10.76,107.60,220.02,2200.20,0.17,5660620.00,241.06,0.24,-1.00,0.06
II Year B-Wing,"Jul 30 2025, 02:00:00",50.02,10.70,107.00,219.96,2199.60,0.16,5660560.00,242.25,0.24,-1.00,0.06
II Year B-Wing,"Jul 30 2025, 01:00:00",49.96,10.65,106.50,219.91,2199.10,0.16,5660510.00,240.64,0.24,-1.00,0.06
II Year B-Wing,"Jul 30 2025, 00:00:00",50.00,10.60,106.00,219.86,2198.60,0.16,5660460.00,241.14,0.24,-1.00,0.06
II Year B-Wing,"Jul 29 2025, 23:00:00",49.94,22.52,225.20,219.80,2198.00,0.16,5660400.00,241.61,0.24,-1.00,0.06
II Year B-Wing,"Jul 29 2025, 22:00:00",50.05,22.47,224.70,219.75,2197.50,0.16,5660350.00,237.15,0.24,-1.00,0.06
II Year B-Wing,"Jul 29 2025, 21:00:00",49.98,22.41,224.10,219.69,2196.90,0.16,5660290.00,239.58,0.24,-1.00,0.06
II Year B-Wing,"Jul 29 2025, 20:00:00",49.89,22.35,223.50,219.63,2196.30,0.16,5660230.00,239.49,0.25,-1.00,0.06
II Year B-Wing,"Jul 29 2025, 19:00:00",50.03,22.28,222.80,219.56,2195.60,0.16,5660160.00,238.96,0.67,0.54,0.08
II Year B-Wing,"Jul 29 2025, 18:00:00",50.09,22.17,221.70,219.45,2194.50,0.16,5660050.00,243.72,0.64,1.00,0.15
II Year B-Wing,"Jul 29 2025, 17:00:00",50.00,22.02,220.20,219.30,2193.00,0.16,5659900.00,242.61,0.64,1.00,0.15
II Year B-Wing,"Jul 29 2025, 16:00:00",50.03,21.85,218.50,219.13,2191.30,0.16,5659730.00,240.98,1.27,-1.00,0.30
II Year B-Wing,"Jul 29 2025, 15:00:00",50.06,21.27,212.70,218.55,2185.50,0.16,5659150.00,242.74,4.35,-1.00,1.05
II Year B-Wing,"Jul 29 2025, 13:00:00",50.17,19.70,197.00,216.98,2169.80,0.16,5657580.00,242.29,5.43,-1.00,1.31
II Year B-Wing,"Jul 29 2025, 12:00:00",50.00,18.62,186.20,215.90,2159.00,0.16,5656500.00,236.01,6.01,-1.00,1.41
II Year B-Wing,"Jul 29 2025, 11:00:00",50.07,17.17,171.70,214.45,2144.50,0.16,5655050.00,241.95,5.96,-1.00,1.43
II Year B-Wing,"Jul 29 2025, 10:00:00",50.09,15.88,158.80,213.16,2131.60,0.16,5653760.00,242.21,5.23,-1.00,1.26
II Year B-Wing,"Jul 29 2025, 09:00:00",50.10,14.50,145.00,211.78,2117.80,0.16,5652380.00,238.53,5.39,-1.00,1.27
II Year B-Wing,"Jul 29 2025, 08:00:00",50.07,13.11,131.10,210.39,2103.90,0.16,5650990.00,239.44,4.82,1.00,1.15
II Year B-Wing,"Jul 29 2025, 07:00:00",50.01,12.81,128.10,210.09,2100.90,0.16,5650690.00,238.12,0.80,0.74,0.14
II Year B-Wing,"Jul 29 2025, 06:00:00",50.01,12.68,126.80,209.96,2099.60,0.16,5650560.00,239.78,0.80,0.73,0.14
II Year B-Wing,"Jul 29 2025, 05:00:00",50.07,12.54,125.40,209.82,2098.20,0.16,5650420.00,244.97,0.82,0.72,0.14
II Year B-Wing,"Jul 29 2025, 04:00:00",50.09,12.40,124.00,209.68,2096.80,0.16,5650280.00,243.97,0.82,0.72,0.14
II Year B-Wing,"Jul 29 2025, 03:00:00",49.98,12.26,122.60,209.54,2095.40,0.16,5650140.00,242.84,0.81,0.72,0.14
II Year B-Wing,"Jul 29 2025, 02:00:00",50.03,12.12,121.20,209.40,2094.00,0.16,5650000.00,243.30,0.81,0.72,0.14
II Year B-Wing,"Jul 29 2025, 01:00:00",50.03,11.98,119.80,209.26,2092.60,0.16,5649860.00,242.84,0.81,0.72,0.14
II Year B-Wing,"Jul 29 2025, 00:00:00",50.04,11.84,118.40,209.12,2091.20,0.16,5649720.00,241.31,0.80,0.73,0.14
II Year B-Wing,"Jul 28 2025, 23:00:00",49.96,12.53,125.30,208.98,2089.80,0.16,5649580.00,240.87,0.80,0.73,0.14
II Year B-Wing,"Jul 28 2025, 22:00:00",50.09,12.39,123.90,208.84,2088.40,0.16,5649440.00,241.46,0.80,0.73,0.14
II Year B-Wing,"Jul 28 2025, 21:00:00",50.04,12.25,122.50,208.70,2087.00,0.16,5649300.00,238.48,0.80,0.73,0.14
II Year B-Wing,"Jul 28 2025, 20:00:00",50.04,12.11,121.10,208.56,2085.60,0.16,5649160.00,241.86,0.81,0.73,0.14
II Year B-Wing,"Jul 28 2025, 19:00:00",50.07,11.93,119.30,208.38,2083.80,0.16,5648980.00,240.26,1.03,-1.00,0.24
II Year B-Wing,"Jul 28 2025, 18:00:00",50.06,11.72,117.20,208.17,2081.70,0.16,5648770.00,243.67,0.87,-1.00,0.21
II Year B-Wing,"Jul 28 2025, 17:00:00",50.08,11.53,115.30,207.98,2079.80,0.16,5648580.00,245.50,0.71,1.00,0.17
II Year B-Wing,"Jul 28 2025, 16:00:00",50.02,11.35,113.50,207.80,2078.00,0.16,5648400.00,240.89,0.87,-1.00,0.21
II Year B-Wing,"Jul 28 2025, 15:00:00",50.02,10.36,103.60,206.81,2068.10,0.16,5647410.00,239.82,4.78,-1.00,1.14
II Year B-Wing,"Jul 28 2025, 14:00:00",50.05,9.22,92.20,205.67,2056.70,0.15,5646270.00,240.32,4.78,-1.00,1.14
II Year B-Wing,"Jul 28 2025, 13:00:00",50.20,8.08,80.80,204.53,2045.30,0.15,5645130.00,244.10,5.46,-1.00,1.33
II Year B-Wing,"Jul 28 2025, 11:00:00",50.02,5.58,55.80,202.03,2020.30,0.15,5642630.00,242.08,4.76,-1.00,1.14
II Year B-Wing,"Jul 28 2025, 10:00:00",49.97,4.33,43.30,200.78,2007.80,0.15,5641380.00,239.59,6.00,-1.00,1.43
II Year B-Wing,"Jul 28 2025, 09:00:00",50.02,2.87,28.70,199.32,1993.20,0.15,5639920.00,243.48,6.06,-1.00,1.47
II Year B-Wing,"Jul 28 2025, 08:00:00",50.06,1.42,14.20,197.87,1978.70,0.15,5638470.00,239.72,5.75,-1.00,1.37
II Year B-Wing,"Jul 28 2025, 07:00:00",50.04,1.04,10.40,197.49,1974.90,0.15,5638090.00,242.76,0.15,-0.99,0.04
II Year B-Wing,"Jul 28 2025, 06:00:00",50.01,1.00,10.00,197.45,1974.50,0.15,5638050.00,240.18,0.15,-0.99,0.04
II Year B-Wing,"Jul 28 2025, 05:00:00",50.06,0.97,9.70,197.42,1974.20,0.15,5638020.00,243.79,0.14,-0.99,0.04
II Year B-Wing,"Jul 28 2025, 04:00:00",50.04,0.93,9.30,197.38,1973.80,0.15,5637980.00,244.36,0.15,-1.00,0.04
II Year B-Wing,"Jul 28 2025, 03:00:00",50.06,0.90,9.00,197.35,1973.50,0.15,5637950.00,244.32,0.15,-1.00,0.04
II Year B-Wing,"Jul 28 2025, 02:00:00",50.02,0.86,8.60,197.31,1973.10,0.15,5637910.00,241.63,0.14,-1.00,0.04
II Year B-Wing,"Jul 28 2025, 01:00:00",49.99,0.83,8.30,197.28,1972.80,0.15,5637880.00,243.25,0.14,-0.99,0.03
II Year B-Wing,"Jul 28 2025, 00:00:00",50.01,0.79,7.90,197.24,1972.40,0.15,5637840.00,243.28,0.15,-0.99,0.04
II Year B-Wing,"Jul 27 2025, 23:00:00",50.07,7.21,72.10,197.21,1972.10,0.15,5637810.00,240.32,0.15,-0.99,0.03
II Year B-Wing,"Jul 27 2025, 22:00:00",50.00,7.17,71.70,197.17,1971.70,0.15,5637770.00,238.18,0.15,-0.99,0.04
II Year B-Wing,"Jul 27 2025, 21:00:00",50.00,7.14,71.40,197.14,1971.40,0.15,5637740.00,241.48,0.15,-0.99,0.04
II Year B-Wing,"Jul 27 2025, 20:00:00",49.93,7.10,71.00,197.10,1971.00,0.15,5637700.00,241.25,0.15,-1.00,0.04
II Year B-Wing,"Jul 27 2025, 19:00:00",49.99,7.07,70.70,197.07,1970.70,0.15,5637670.00,241.69,0.15,-1.00,0.04
II Year B-Wing,"Jul 27 2025, 18:00:00",49.94,7.03,70.30,197.03,1970.30,0.15,5637630.00,244.96,0.14,-1.00,0.03
II Year B-Wing,"Jul 27 2025, 17:00:00",50.07,7.00,70.00,197.00,1970.00,0.15,5637600.00,242.40,0.15,-0.99,0.04
II Year B-Wing,"Jul 27 2025, 15:00:00",50.03,6.93,69.30,196.93,1969.30,0.15,5637530.00,241.91,0.15,-0.99,0.03
II Year B-Wing,"Jul 27 2025, 14:00:00",50.38,6.90,69.00,196.90,1969.00,0.15,5637500.00,244.96,0.14,-0.99,0.03
II Year B-Wing,"Jul 27 2025, 13:00:00",50.05,6.86,68.60,196.86,1968.60,0.15,5637460.00,245.44,0.15,-1.00,0.04
II Year B-Wing,"Jul 27 2025, 12:00:00",50.06,6.83,68.30,196.83,1968.30,0.15,5637430.00,242.68,0.15,-1.00,0.04
II Year B-Wing,"Jul 27 2025, 11:00:00",50.10,6.79,67.90,196.79,1967.90,0.15,5637390.00,242.16,0.14,-1.00,0.03
II Year B-Wing,"Jul 27 2025, 10:00:00",50.05,6.76,67.60,196.76,1967.60,0.15,5637360.00,245.37,0.14,-1.00,0.04
II Year B-Wing,"Jul 27 2025, 09:00:00",50.03,6.73,67.30,196.73,1967.30,0.15,5637330.00,241.57,0.15,-0.99,0.04
II Year B-Wing,"Jul 27 2025, 08:00:00",50.06,6.69,66.90,196.69,1966.90,0.15,5637290.00,242.46,0.15,-1.00,0.04
II Year B-Wing,"Jul 27 2025, 07:00:00",49.99,6.66,66.60,196.66,1966.60,0.15,5637260.00,240.59,0.15,-1.00,0.04
II Year B-Wing,"Jul 27 2025, 06:00:00",50.03,6.62,66.20,196.62,1966.20,0.15,5637220.00,239.99,0.15,-0.99,0.04
II Year B-Wing,"Jul 27 2025, 05:00:00",50.02,6.59,65.90,196.59,1965.90,0.15,5637190.00,241.17,0.14,-0.99,0.03
II Year B-Wing,"Jul 27 2025, 04:00:00",50.01,6.55,65.50,196.55,1965.50,0.15,5637150.00,242.85,0.14,-1.00,0.03
II Year B-Wing,"Jul 27 2025, 03:00:00",49.95,6.52,65.20,196.52,1965.20,0.15,5637120.00,242.04,0.14,-0.99,0.04
II Year B-Wing,"Jul 27 2025, 02:00:00",50.02,6.48,64.80,196.48,1964.80,0.15,5637080.00,242.76,0.15,-0.99,0.04
II Year B-Wing,"Jul 27 2025, 01:00:00",49.99,6.45,64.50,196.45,1964.50,0.15,5637050.00,244.95,0.15,-0.99,0.04
II Year B-Wing,"Jul 27 2025, 00:00:00",50.04,6.41,64.10,196.41,1964.10,0.15,5637010.00,244.57,0.15,-0.99,0.04
II Year B-Wing,"Jul 26 2025, 23:00:00",49.99,16.56,165.60,196.38,1963.80,0.15,5636980.00,241.53,0.15,-0.99,0.04
II Year B-Wing,"Jul 26 2025, 22:00:00",50.04,16.52,165.20,196.34,1963.40,0.15,5636940.00,241.49,0.15,-1.00,0.04
II Year B-Wing,"Jul 26 2025, 19:00:00",50.06,16.42,164.20,196.24,1962.40,0.15,5636840.00,242.05,0.14,-1.00,0.03
II Year B-Wing,"Jul 26 2025, 18:00:00",50.10,16.38,163.80,196.20,1962.00,0.15,5636800.00,243.56,0.15,-0.99,0.04
II Year B-Wing,"Jul 26 2025, 17:00:00",50.03,16.35,163.50,196.17,1961.70,0.15,5636770.00,242.20,0.14,-1.00,0.03
II Year B-Wing,"Jul 26 2025, 16:00:00",50.12,16.20,162.00,196.02,1960.20,0.15,5636620.00,244.73,0.71,1.00,0.17
II Year B-Wing,"Jul 26 2025, 15:00:00",49.91,15.78,157.80,195.60,1956.00,0.15,5636200.00,244.30,2.85,-1.00,0.69
II Year B-Wing,"Jul 26 2025, 14:00:00",49.90,15.10,151.00,194.92,1949.20,0.15,5635520.00,240.06,2.90,-1.00,0.69
II Year B-Wing,"Jul 26 2025, 13:00:00",50.10,14.34,143.40,194.16,1941.60,0.15,5634760.00,239.25,3.18,-1.00,0.76
II Year B-Wing,"Jul 26 2025, 12:00:00",50.02,13.58,135.80,193.40,1934.00,0.15,5634000.00,238.50,3.25,-1.00,0.77
II Year B-Wing,"Jul 26 2025, 11:00:00",50.19,12.90,129.00,192.72,1927.20,0.14,5633320.00,241.29,2.71,-1.00,0.65
II Year B-Wing,"Jul 26 2025, 10:00:00",50.14,12.15,121.50,191.97,1919.70,0.14,5632570.00,240.14,3.44,-1.00,0.82
II Year B-Wing,"Jul 26 2025, 08:00:00",50.06,10.46,104.60,190.28,1902.80,0.14,5630880.00,238.30,2.16,-1.00,0.51
II Year B-Wing,"Jul 26 2025, 07:00:00",49.98,10.40,104.00,190.22,1902.20,0.14,5630820.00,240.49,0.15,-1.00,0.04
II Year B-Wing,"Jul 26 2025, 06:00:00",50.06,10.36,103.60,190.18,1901.80,0.14,5630780.00,241.06,0.14,-1.00,0.03
II Year B-Wing,"Jul 26 2025, 05:00:00",50.04,10.32,103.20,190.14,1901.40,0.14,5630740.00,245.08,0.15,-1.00,0.04
II Year B-Wing,"Jul 26 2025, 04:00:00",50.07,10.29,102.90,190.11,1901.10,0.14,5630710.00,244.72,0.14,-1.00,0.04
II Year B-Wing,"Jul 26 2025, 03:00:00",50.05,10.25,102.50,190.07,1900.70,0.14,5630670.00,244.29,0.14,-1.00,0.04
II Year B-Wing,"Jul 26 2025, 02:00:00",50.07,10.22,102.20,190.04,1900.40,0.14,5630640.00,242.71,0.14,-0.99,0.03
II Year B-Wing,"Jul 26 2025, 01:00:00",50.03,10.18,101.80,190.00,1900.00,0.14,5630600.00,244.59,0.14,-0.99,0.03
II Year B-Wing,"Jul 26 2025, 00:00:00",50.03,10.15,101.50,189.97,1899.70,0.14,5630570.00,242.48,0.15,-0.99,0.03
II Year B-Wing,"Jul 25 2025, 23:00:00",49.99,20.51,205.10,189.93,1899.30,0.14,5630530.00,244.39,0.15,-0.99,0.04
II Year B-Wing,"Jul 25 2025, 22:00:00",50.02,20.48,204.80,189.90,1899.00,0.14,5630500.00,242.24,0.14,-0.99,0.03
II Year B-Wing,"Jul 25 2025, 21:00:00",50.00,20.44,204.40,189.86,1898.60,0.14,5630460.00,240.64,0.15,-0.99,0.04
II Year B-Wing,"Jul 25 2025, 20:00:00",50.05,20.41,204.10,189.83,1898.30,0.14,5630430.00,242.18,0.14,-0.99,0.04
II Year B-Wing,"Jul 25 2025, 19:00:00",50.11,20.38,203.80,189.80,1898.00,0.14,5630400.00,242.39,0.14,-0.99,0.04
II Year B-Wing,"Jul 25 2025, 18:00:00",50.14,20.34,203.40,189.76,1897.60,0.14,5630360.00,242.59,0.15,-0.99,0.04
II Year B-Wing,"Jul 25 2025, 17:00:00",50.05,20.31,203.10,189.73,1897.30,0.14,5630330.00,245.64,0.14,-0.99,0.04
II Year B-Wing,"Jul 25 2025, 16:00:00",50.01,20.27,202.70,189.69,1896.90,0.14,5630290.00,242.35,1.59,-0.99,0.38
II Year B-Wing,"Jul 25 2025, 15:00:00",50.01,19.42,194.20,188.84,1888.40,0.14,5629440.00,240.80,6.07,-1.00,1.45
II Year B-Wing,"Jul 25 2025, 14:00:00",50.01,18.03,180.30,187.45,1874.50,0.14,5628050.00,240.77,5.47,-1.00,1.31
II Year B-Wing,"Jul 25 2025, 13:00:00",50.05,16.79,167.90,186.21,1862.10,0.14,5626810.00,242.81,5.13,-1.00,1.24
II Year B-Wing,"Jul 25 2025, 12:00:00",49.96,15.48,154.80,184.90,1849.00,0.14,5625500.00,243.35,5.15,-1.00,1.25
II Year B-Wing,"Jul 25 2025, 11:00:00",50.00,14.19,141.90,183.61,1836.10,0.14,5624210.00,240.83,5.54,-1.00,1.33
II Year B-Wing,"Jul 25 2025, 09:00:00",50.10,11.82,118.20,181.24,1812.40,0.14,5621840.00,235.62,5.35,-1.00,1.25
II Year B-Wing,"Jul 25 2025, 08:00:00",50.02,10.84,108.40,180.26,1802.60,0.14,5620860.00,237.08,2.57,-0.99,0.60
II Year B-Wing,"Jul 25 2025, 07:00:00",49.96,10.62,106.20,180.04,1800.40,0.14,5620640.00,241.40,0.15,-1.00,0.04
II Year B-Wing,"Jul 25 2025, 06:00:00",50.03,10.58,105.80,180.00,1800.00,0.14,5620600.00,237.90,0.15,-1.00,0.04
II Year B-Wing,"Jul 25 2025, 05:00:00",49.95,10.55,105.50,179.97,1799.70,0.13,5620570.00,242.66,0.14,-0.99,0.03
II Year B-Wing,"Jul 25 2025, 04:00:00",49.99,10.51,105.10,179.93,1799.30,0.13,5620530.00,243.96,0.15,-0.99,0.03
II Year B-Wing,"Jul 25 2025, 03:00:00",49.95,10.48,104.80,179.90,1799.00,0.13,5620500.00,242.52,0.14,-0.99,0.03
II Year B-Wing,"Jul 25 2025, 02:00:00",49.99,10.44,104.40,179.86,1798.60,0.13,5620460.00,244.46,0.14,-1.00,0.03
II Year B-Wing,"Jul 25 2025, 01:00:00",50.04,10.40,104.00,179.82,1798.20,0.13,5620420.00,242.24,0.15,-0.99,0.04
II Year B-Wing,"Jul 24 2025, 23:00:00",50.04,21.51,215.10,179.76,1797.60,0.13,5620360.00,243.62,0.14,-0.99,0.03
II Year B-Wing,"Jul 24 2025, 21:00:00",50.01,21.43,214.30,179.68,1796.80,0.13,5620280.00,240.53,0.15,-0.99,0.04
II Year B-Wing,"Jul 24 2025, 20:00:00",50.05,21.40,214.00,179.65,1796.50,0.13,5620250.00,242.44,0.14,-1.00,0.03
II Year B-Wing,"Jul 24 2025, 19:00:00",50.11,21.36,213.60,179.61,1796.10,0.13,5620210.00,243.99,0.14,-0.99,0.04
II Year B-Wing,"Jul 24 2025, 18:00:00",50.08,21.33,213.30,179.58,1795.80,0.13,5620180.00,242.96,0.15,-0.99,0.04
II Year B-Wing,"Jul 24 2025, 17:00:00",50.05,21.28,212.80,179.53,1795.30,0.13,5620130.00,241.27,0.14,-0.99,0.03
II Year B-Wing,"Jul 24 2025, 16:00:00",50.04,21.08,210.80,179.33,1793.30,0.13,5619930.00,241.74,2.54,-1.00,0.61
II Year B-Wing,"Jul 24 2025, 15:00:00",50.01,20.30,203.00,178.55,1785.50,0.13,5619150.00,238.37,3.22,-1.00,0.76
II Year B-Wing,"Jul 24 2025, 14:00:00",50.00,19.52,195.20,177.77,1777.70,0.13,5618370.00,238.56,5.13,-1.00,1.22
II Year B-Wing,"Jul 24 2025, 13:00:00",50.09,18.31,183.10,176.56,1765.60,0.13,5617160.00,240.42,6.04,-1.00,1.44
II Year B-Wing,"Jul 24 2025, 12:00:00",49.97,16.94,169.40,175.19,1751.90,0.13,5615790.00,241.95,5.23,-1.00,1.26
II Year B-Wing,"Jul 24 2025, 11:00:00",49.99,15.61,156.10,173.86,1738.60,0.13,5614460.00,239.48,6.04,-1.00,1.44
II Year B-Wing,"Jul 24 2025, 10:00:00",50.06,14.20,142.00,172.45,1724.50,0.13,5613050.00,238.86,5.90,-1.00,1.40
II Year B-Wing,"Jul 24 2025, 09:00:00",50.04,12.78,127.80,171.03,1710.30,0.13,5611630.00,238.81,6.06,-1.00,1.44
II Year B-Wing,"Jul 24 2025, 08:00:00",50.03,11.53,115.30,169.78,1697.80,0.13,5610380.00,235.37,4.36,-1.00,1.02
II Year B-Wing,"Jul 24 2025, 07:00:00",50.02,11.28,112.80,169.53,1695.30,0.13,5610130.00,240.39,0.08,1.00,0.02
II Year B-Wing,"Jul 24 2025, 06:00:00",50.01,11.26,112.60,169.51,1695.10,0.13,5610110.00,239.36,0.07,1.00,0.02
II Year B-Wing,"Jul 24 2025, 05:00:00",50.09,11.25,112.50,169.50,1695.00,0.13,5610100.00,241.01,0.08,1.00,0.02
II Year B-Wing,"Jul 24 2025, 04:00:00",50.00,11.23,112.30,169.48,1694.80,0.13,5610080.00,241.90,0.07,1.00,0.02
II Year B-Wing,"Jul 24 2025, 03:00:00",50.05,11.21,112.10,169.46,1694.60,0.13,5610060.00,243.07,0.08,1.00,0.02
II Year B-Wing,"Jul 24 2025, 02:00:00",50.03,11.19,111.90,169.44,1694.40,0.13,5610040.00,243.81,0.08,1.00,0.02
II Year B-Wing,"Jul 23 2025, 23:00:00",50.01,20.08,200.80,169.39,1693.90,0.13,5609990.00,243.03,0.07,1.00,0.02
II Year B-Wing,"Jul 23 2025, 22:00:00",50.05,20.06,200.60,169.37,1693.70,0.13,5609970.00,241.29,0.07,1.00,0.02
II Year B-Wing,"Jul 23 2025, 21:00:00",50.03,20.04,200.40,169.35,1693.50,0.13,5609950.00,240.40,0.07,1.00,0.02
II Year B-Wing,"Jul 23 2025, 20:00:00",50.05,20.02,200.20,169.33,1693.30,0.13,5609930.00,242.42,0.08,1.00,0.02
II Year B-Wing,"Jul 23 2025, 19:00:00",50.05,20.00,200.00,169.31,1693.10,0.13,5609910.00,240.59,0.07,1.00,0.02
II Year B-Wing,"Jul 23 2025, 18:00:00",50.03,19.98,199.80,169.29,1692.90,0.13,5609890.00,242.43,0.08,1.00,0.02
II Year B-Wing,"Jul 23 2025, 17:00:00",49.96,19.97,199.70,169.28,1692.80,0.13,5609880.00,242.33,0.08,1.00,0.02
II Year B-Wing,"Jul 23 2025, 16:00:00",50.02,19.82,198.20,169.13,1691.30,0.13,5609730.00,244.44,0.85,-1.00,0.20
II Year B-Wing,"Jul 23 2025, 15:00:00",49.95,18.84,188.40,168.15,1681.50,0.13,5608750.00,237.48,5.71,-1.00,1.35
