Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Line Voltage,Power Factor,Average Power
II Year B-Wing,"Jul 31 2025, 23:00:00",49.97,11.02,110.20,241.75,2417.50,0.18,5682350.00,239.74,0.15,-1.00,0.04
II Year B-Wing,"Jul 31 2025, 22:00:00",50.05,10.98,109.80,241.71,2417.10,0.18,5682310.00,238.56,0.15,-1.00,0.03
II Year B-Wing,"Jul 31 2025, 21:00:00",50.05,10.95,109.50,241.68,2416.80,0.18,5682280.00,237.81,0.15,-0.99,0.03
II Year B-Wing,"Jul 31 2025, 20:00:00",50.10,10.91,109.10,241.64,2416.40,0.18,5682240.00,239.31,0.15,-1.00,0.04
II Year B-Wing,"Jul 31 2025, 19:00:00",50.08,10.88,108.80,241.61,2416.10,0.18,5682210.00,237.33,0.15,-0.99,0.04
II Year B-Wing,"Jul 31 2025, 18:00:00",50.13,10.84,108.40,241.57,2415.70,0.18,5682170.00,241.68,0.14,-0.99,0.04
II Year B-Wing,"Jul 31 2025, 17:00:00",50.00,10.77,107.70,241.50,2415.00,0.18,5682100.00,242.95,0.87,-1.00,0.21
II Year B-Wing,"Jul 31 2025, 16:00:00",49.92,10.55,105.50,241.28,2412.80,0.18,5681880.00,239.68,1.11,-1.00,0.26
II Year B-Wing,"Jul 31 2025, 15:00:00",50.04,9.60,96.00,240.33,2403.30,0.18,5680930.00,243.14,5.97,-1.00,1.44
II Year B-Wing,"Jul 31 2025, 14:00:00",50.03,8.20,82.00,238.93,2389.30,0.18,5679530.00,242.41,3.60,-1.00,0.87
II Year B-Wing,"Jul 31 2025, 13:00:00",50.29,7.10,71.00,237.83,2378.30,0.18,5678430.00,240.21,5.99,-1.00,1.43
II Year B-Wing,"Jul 31 2025, 12:00:00",50.15,5.67,56.70,236.40,2364.00,0.18,5677000.00,237.95,6.03,-1.00,1.43
II Year B-Wing,"Jul 31 2025, 11:00:00",50.06,4.25,42.50,234.98,2349.80,0.18,5675580.00,240.67,5.28,-1.00,1.26
II Year B-Wing,"Jul 31 2025, 10:00:00",50.15,3.08,30.80,233.81,2338.10,0.18,5674410.00,241.74,4.73,-1.00,1.14
II Year B-Wing,"Jul 31 2025, 09:00:00",50.06,1.79,17.90,232.52,2325.20,0.17,5673120.00,236.32,5.61,-1.00,1.31
II Year B-Wing,"Jul 31 2025, 08:00:00",50.06,0.50,5.00,231.23,2312.30,0.17,5671830.00,236.87,4.57,-1.00,1.08
II Year B-Wing,"Jul 31 2025, 07:00:00",49.96,0.25,2.50,230.98,2309.80,0.17,5671580.00,240.77,0.15,-0.99,0.04
II Year B-Wing,"Jul 31 2025, 06:00:00",50.05,0.21,2.10,230.94,2309.40,0.17,5671540.00,239.28,0.15,-1.00,0.04
II Year B-Wing,"Jul 31 2025, 05:00:00",50.06,0.18,1.80,230.91,2309.10,0.17,5671510.00,242.78,0.15,-1.00,0.04
