Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
APE Lab,"Jul 31 2025, 14:00:00",50.02,11.12,111.20,1285,12850.00,0.96,7522650.00,237.56,6.94,-1.00,1.64
APE Lab,"Jul 31 2025, 13:00:00",50.28,9.84,98.40,1284,12840.00,0.96,7521370.00,236.74,5.13,-1.00,1.21
APE Lab,"Jul 31 2025, 12:00:00",50.16,8.62,86.20,1282,12820.00,0.96,7520150.00,237.65,5.14,-1.00,1.22
APE Lab,"Jul 31 2025, 11:00:00",50.05,7.41,74.10,1281,12810.00,0.96,7518940.00,238.36,5.10,-1.00,1.21
APE Lab,"Jul 31 2025, 10:00:00",50.18,6.20,62.00,1280,12800.00,0.96,7517730.00,239.31,5.32,1.00,1.27
APE Lab,"Jul 31 2025, 09:00:00",50.04,4.98,49.80,1279,12790.00,0.96,7516510.00,235.42,5.23,-1.00,1.23
APE Lab,"Jul 31 2025, 08:00:00",50.06,3.75,37.50,1277,12770.00,0.96,7515280.00,238.56,3.74,-1.00,0.89
APE Lab,"Jul 31 2025, 07:00:00",49.97,3.23,32.30,1277,12770.00,0.96,7514760.00,241.56,1.91,-1.00,0.46
APE Lab,"Jul 31 2025, 06:00:00",50.05,2.77,27.70,1276,12760.00,0.96,7514300.00,238.49,1.89,-1.00,0.45
APE Lab,"Jul 31 2025, 05:00:00",50.06,2.32,23.20,1276,12760.00,0.96,7513850.00,241.91,1.91,-1.00,0.46
APE Lab,"Jul 31 2025, 04:00:00",50.05,1.86,18.60,1276,12760.00,0.96,7513390.00,242.90,1.91,-1.00,0.46
APE Lab,"Jul 31 2025, 03:00:00",49.98,1.40,14.00,1275,12750.00,0.96,7512930.00,241.98,1.91,-1.00,0.46
APE Lab,"Jul 31 2025, 01:00:00",49.99,0.48,4.80,1274,12740.00,0.96,7512010.00,241.31,1.91,-1.00,0.46
APE Lab,"Jul 31 2025, 00:00:00",50.05,0.02,0.20,1274,12740.00,0.96,7511550.00,240.36,1.90,-1.00,0.46
APE Lab,"Jul 30 2025, 23:00:00",49.98,1273.22,12732.20,1273,12730.00,0.95,7511090.00,240.86,1.90,-1.00,0.46
APE Lab,"Jul 30 2025, 22:00:00",50.08,1272.76,12727.60,1273,12730.00,0.95,7510630.00,239.54,1.90,-1.00,0.45
APE Lab,"Jul 30 2025, 21:00:00",50.06,1272.31,12723.10,1272,12720.00,0.95,7510180.00,238.13,1.89,-1.00,0.45
APE Lab,"Jul 30 2025, 20:00:00",50.07,1271.86,12718.60,1272,12720.00,0.95,7509730.00,241.81,1.92,-1.00,0.46
APE Lab,"Jul 30 2025, 19:00:00",50.03,1271.40,12714.00,1271,12710.00,0.95,7509270.00,239.95,1.90,-1.00,0.45
APE Lab,"Jul 30 2025, 18:00:00",50.03,1270.95,12709.50,1271,12710.00,0.95,7508820.00,240.04,1.90,-1.00,0.45
APE Lab,"Jul 30 2025, 17:00:00",50.09,1270.46,12704.60,1270,12700.00,0.95,7508330.00,242.99,1.92,-1.00,0.46
APE Lab,"Jul 30 2025, 16:00:00",50.05,1270.00,12700.00,1270,12700.00,0.95,7507870.00,241.71,1.92,-1.00,0.46
APE Lab,"Jul 30 2025, 15:00:00",49.94,1268.76,12687.60,1269,12690.00,0.95,7506630.00,238.48,7.30,-1.00,1.73
