EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
2390.8,1.70,85.4,23908
      

Device Name,kWh,tCO2,Date Range,Cost
APE Lab,393.1,0.28,01/02/2025 to 28/02/2025,3931.0
Seminar Hall-Wing,356.2,0.28,01/02/2025 to 28/02/2025,3562.0
III Year A Wing,327.0,0.23,01/02/2025 to 28/02/2025,3270.0
MI Lab Wing,272.5,0.23,01/02/2025 to 28/02/2025,2725.0
III Year B-Wing,270.3,0.22,01/02/2025 to 28/02/2025,2703.0
II Year B-Wing,201.1,0.20,01/02/2025 to 28/02/2025,2011.0
EM Lab 1-Wing,166.0,0.16,01/02/2025 to 28/02/2025,1660.0
EC LAB,118.7,0.01,01/02/2025 to 28/02/2025,1187.0
IV Year A-Wing,111.7,0.02,01/02/2025 to 28/02/2025,1117.0
EM Lab-2 (3 Phase),109.1,0.07,01/02/2025 to 28/02/2025,1091.0
IV Year B-Wing,65.1,0.00,01/02/2025 to 28/02/2025,651.0
EM Lab II,0.0,0.00,01/02/2025 to 28/02/2025,0.0
Workshop-Wing,0.0,0.00,01/02/2025 to 28/02/2025,0.0
