EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
1075.6,0.64,35.9,10756
      

Device Name,kWh,tCO2,Date Range,Cost
Seminar Hall-Wing,340.7,0.26,01/06/2025 to 30/06/2025,3406.9
MI Lab Wing,184.7,0.12,01/06/2025 to 30/06/2025,1846.5
II Year B-Wing,162.2,0.07,01/06/2025 to 30/06/2025,1621.5
IV Year A-Wing,135.6,0.07,01/06/2025 to 30/06/2025,1355.8
EC LAB,107.2,0.05,01/06/2025 to 30/06/2025,1072.0
EM Lab-2 (3 Phase),107.1,0.06,01/06/2025 to 30/06/2025,1071.1
EM Lab 1-Wing,20.3,0.01,01/06/2025 to 30/06/2025,203.0
IV Year B-Wing,17.8,0.00,01/06/2025 to 30/06/2025,177.7
III Year B-Wing,0.0,0.00,01/06/2025 to 30/06/2025,0.0
EM Lab II,0.0,0.00,01/06/2025 to 30/06/2025,0.0
Workshop-Wing,0.0,0.00,01/06/2025 to 30/06/2025,0.0
APE Lab,0.0,0.00,01/06/2025 to 30/06/2025,0.0
III Year A Wing,0.0,0.00,01/06/2025 to 30/06/2025,0.0
